ITEM_ID;LENGTH_ITEM;WIDTH_ITEM;STACK;SEQUENCE
0;327;227;0;1
1;327;227;0;2
2;327;227;0;3
3;327;227;0;4
4;327;227;0;5
5;327;227;0;6
6;327;227;0;7
7;327;227;0;8
8;327;227;0;9
9;327;227;0;10
10;327;227;0;11
11;327;227;0;12
12;327;227;0;13
13;327;227;0;14
14;327;227;0;15
15;327;227;0;16
16;327;227;0;17
17;327;227;0;18
18;327;227;0;19
19;327;227;0;20
20;327;227;0;21
21;327;227;0;22
22;327;227;0;23
23;327;227;0;24
24;327;227;0;25
25;327;227;0;26
26;32;152;1;1
27;32;152;1;2
28;328;306;2;1
29;328;306;2;2
30;328;306;2;3
31;328;306;2;4
32;328;306;2;5
33;328;306;2;6
34;328;306;2;7
35;328;306;2;8
36;328;306;2;9
37;328;306;2;10
38;328;306;2;11
39;328;306;2;12
40;328;306;2;13
41;328;306;2;14
42;328;306;2;15
43;328;306;2;16
44;328;306;2;17
45;328;306;2;18
46;328;306;2;19
47;328;306;2;20
48;328;306;2;21
49;328;306;2;22
50;328;306;2;23
51;328;306;2;24
52;328;306;2;25
53;328;306;2;26
54;328;306;2;27
55;328;306;2;28
56;328;306;2;29
57;328;306;2;30
58;328;306;2;31
59;328;306;2;32
60;328;306;2;33
61;328;306;2;34
62;328;306;2;35
63;182;549;3;1
64;182;549;3;2
65;182;549;3;3
66;182;549;3;4
67;182;549;3;5
68;182;549;3;6
69;182;549;3;7
70;182;549;3;8
71;681;556;4;1
72;681;556;4;2
73;681;556;4;3
74;681;556;4;4
75;681;556;4;5
76;681;556;4;6
77;681;556;4;7
78;681;556;4;8
79;681;556;4;9
80;681;556;4;10
81;681;556;4;11
82;681;556;4;12
83;681;556;4;13
84;681;556;4;14
85;681;556;4;15
86;681;556;4;16
87;681;556;4;17
88;681;556;4;18
89;681;556;4;19
90;681;556;4;20
91;681;556;4;21
92;681;556;4;22
93;681;556;4;23
94;681;556;4;24
95;681;556;4;25
96;681;556;4;26
97;681;556;4;27
98;422;546;5;1
99;422;546;5;2
100;422;546;5;3
101;422;546;5;4
102;422;546;5;5
103;422;546;5;6
104;422;546;5;7
105;422;546;5;8
106;422;546;5;9
107;422;546;5;10
108;418;275;6;1
109;418;275;6;2
110;418;275;6;3
111;418;275;6;4
112;418;275;6;5
113;418;275;6;6
114;418;275;6;7
115;418;275;6;8
116;418;275;6;9
117;418;275;6;10
118;418;275;6;11
119;418;275;6;12
120;418;275;6;13
121;418;275;6;14
122;418;275;6;15
123;418;275;6;16
124;418;275;6;17
125;418;275;6;18
126;418;275;6;19
127;418;275;6;20
128;418;275;6;21
129;418;275;6;22
130;418;275;6;23
131;418;275;6;24
132;418;275;6;25
133;418;275;6;26
134;418;275;6;27
135;418;275;6;28
136;418;275;6;29
137;418;275;6;30
138;418;275;6;31
139;418;275;6;32
140;418;275;6;33
141;418;275;6;34
142;418;275;6;35
143;418;275;6;36
144;418;275;6;37
145;418;275;6;38
146;418;275;6;39
147;418;275;6;40
148;418;275;6;41
149;248;406;7;1
150;248;406;7;2
151;248;406;7;3
152;248;406;7;4
153;248;406;7;5
154;248;406;7;6
155;248;406;7;7
156;248;406;7;8
157;22;69;8;1
158;22;69;8;2
159;22;69;8;3
160;22;69;8;4
161;22;69;8;5
162;22;69;8;6
163;22;69;8;7
164;22;69;8;8
165;22;69;8;9
166;22;69;8;10
167;22;69;8;11
168;22;69;8;12
169;22;69;8;13
170;22;69;8;14
171;22;69;8;15
172;22;69;8;16
173;22;69;8;17
174;22;69;8;18
175;22;69;8;19
176;22;69;8;20
177;22;69;8;21
178;22;69;8;22
179;22;69;8;23
180;22;69;8;24
181;22;69;8;25
182;22;69;8;26
183;22;69;8;27
184;160;563;9;1
185;160;563;9;2
186;160;563;9;3
187;160;563;9;4
188;160;563;9;5
189;160;563;9;6
190;160;563;9;7
191;160;563;9;8
192;160;563;9;9
193;160;563;9;10
194;160;563;9;11
195;160;563;9;12
196;160;563;9;13
197;160;563;9;14
198;160;563;9;15
199;160;563;9;16
200;160;563;9;17
201;160;563;9;18
202;160;563;9;19
203;160;563;9;20
204;160;563;9;21
205;160;563;9;22
206;160;563;9;23
207;160;563;9;24
208;160;563;9;25
209;160;563;9;26
